truck,fromid,toid,fee,gross,net,scenorio
11t,101,80,119000,0.859469005,0.649010757,Actual
11t,101,85,262200,0.314451203,0.254349172,Actual
CNTR,34,85,0,0.658620313,0.48952552,Actual
11t,33,81,151000,0.797101089,0.552113569,Actual
11t,33,85,271000,0.656163873,0.414835866,Actual
CNTR,34,85,0,0.490240925,0.328431078,Actual
CNTR,34,85,0,0.491905469,0.361951804,Actual
CNTR,34,85,0,0.605803267,0.441280979,Actual
11t,102,80,NA,0.549825014,0.210699164,Actual
11t,102,85,NA,0.228686951,0.122243931,Actual
11t,102,80,NA,0.220863745,0.186000495,Actual
11t,85,64,159000,0.915400274,0.653965911,Actual
11t,85,64,159000,0.92651639,0.694661383,Actual
11t,85,64,159000,0.811291146,0.550485063,Actual
11t,85,64,159000,0.601999369,0.402097283,Actual
11t,85,43,220900,0.81095729,0.585022675,Actual
11t,85,53,220900,0.86771071,0.624371306,Actual
11t,85,77,220900,0.78376589,0.567195914,Actual
11t,85,42,220900,0.826987732,0.592266013,Actual
11t,85,51,282700,0.793594785,0.566195772,Actual
11t,85,73,220900,0.791058644,0.574062682,Actual
11t,85,67,220900,0.873577855,0.60271742,Actual
11t,85,72,176700,0.808786086,0.569919823,Actual
11t,85,65,220900,0.83614978,0.590810992,Actual
11t,85,59,220900,0.670138853,0.454777785,Actual
11t,85,74,159000,0.693727686,0.485698411,Actual
11t,85,86,220900,0.711791257,0.507562054,Actual
11t,85,57,282700,0.758744036,0.531665758,Actual
11t,85,52,159000,0.700412352,0.489997559,Actual
11t,85,68,220900,0.785078577,0.527893297,Actual
11t,85,63,220900,0.427261622,0.274709696,Actual
11t,85,83,263200,0.42647171,0.271105482,Actual
11t,85,43,220900,0.759781527,0.528100024,Actual
11t,85,53,220900,0.771436933,0.514104311,Actual
11t,85,77,220900,0.705360417,0.474100768,Actual
11t,85,42,220900,0.435551888,0.280892386,Actual
11t,85,51,282700,0.461593093,0.316811173,Actual
11t,85,73,220900,0.519394296,0.347668392,Actual
11t,85,67,220900,0.325662478,0.211336871,Actual
11t,85,72,176700,0.350649763,0.237252694,Actual
11t,85,65,220900,0.521359587,0.348327305,Actual
11t,85,59,220900,0.159558878,0.101880539,Actual
11t,85,74,159000,0.247388702,0.174358418,Actual
11t,85,86,220900,0.20971189,0.141724441,Actual
11t,85,57,282700,0.143677163,0.104156639,Actual
5t,85,52,141300,0.346586034,0.22742723,Actual
11t,85,43,220900,0.406834761,0.278823583,Actual
11t,85,53,220900,0.260783568,0.172951504,Actual
11t,85,77,220900,0.299672211,0.188580589,Actual
11t,85,42,220900,0.117934588,0.088929027,Actual
11t,85,51,282700,0.089241683,0.05819331,Actual
11t,85,73,220900,0.176946175,0.121425215,Actual
11t,80,85,250000,0.674807048,0.42953213,Actual
CNTR,34,85,0,0.453760042,0.34279896,Actual
CNTR,34,85,0,0.489079336,0.360226523,Actual
CNTR,34,85,0,0.503781962,0.394128553,Actual
CNTR,34,85,0,0.511744317,0.360541653,Actual
11t,80,41,150000,0.176679638,0.121139095,Actual
11t,80,71,155000,0.334710315,0.223530138,Actual
11t,80,69,150000,0.500787049,0.345400137,Actual
11t,80,75,150000,0.447182806,0.318593254,Actual
11t,80,75,150000,0.305802702,0.206935561,Actual
11t,81,32,NA,0.155276184,0.078917149,Actual
11t,80,47,138000,0.257899091,0.173845384,Actual
11t,80,47,138000,0.063593688,0.039817774,Actual
5t,80,58,120000,0.628001789,0.444521439,Actual
11t,80,49,154000,0.519921483,0.370093708,Actual
11t,80,49,154000,0.714043945,0.48524823,Actual
11t,80,40,138000,0.298409233,0.206270546,Actual
11t,80,40,138000,0.035995236,0.018494498,Actual
11t,80,44,138000,0.549318276,0.416182375,Actual
11t,80,44,138000,0.080075085,0.052120057,Actual
11t,80,76,155000,0.451964502,0.332510686,Actual
11t,33,80,139000,0.808450156,0.537365426,Actual
11t,33,80,139000,0.819500276,0.550188415,Actual
11t,33,85,271000,0.340166103,0.207577896,Actual
11t,80,55,127000,0.245675267,0.186904915,Actual
11t,80,66,155000,0.319395106,0.220135941,Actual
11t,80,66,155000,0.162794043,0.101798992,Actual
11t,80,48,155000,0.356200285,0.241201434,Actual
11t,80,62,134000,0.425290368,0.309550933,Actual
11t,80,70,155000,0.201001365,0.140009617,Actual
11t,80,60,155000,0.39992234,0.290499977,Actual
11t,32,81,NA,0.413762736,0.260875341,Actual
11t,80,78,134000,0.211282676,0.142821632,Actual
11t,80,50,150000,0.382646911,0.266244745,Actual
11t,80,50,150000,0.043087544,0.023487096,Actual
11t,80,54,150000,0.34540641,0.228753946,Actual
11t,80,88,140000,0.508865261,0.361523022,Actual
11t,80,89,160000,0.339111024,0.241913609,Actual
11t,80,61,150000,0.201968839,0.136721238,Actual
